i,r_mm,T_surf,P_surf,x_SiH4,x_H2,deposition_rate_mol,deposition_rate_mass,deposition_rate_nm_min,v_stefan
0,2.763157894736842,1000.0,133.09947701051078,0.010604076263410612,0.0010421769419805282,0.00010132563875337712,2.8462371925823633e-06,73.32513162513602,0.006341354436480112
1,8.289473684210526,1000.0,133.09947701051078,0.010604076263410612,0.0010421769419805282,0.00010132563875337712,2.8462371925823633e-06,73.32513162513602,0.006341354436480112
2,13.815789473684209,1000.0,133.09590804714648,0.01059472113302893,0.0010387416510852332,0.00010128350451909845,2.845053641941476e-06,73.2946408400552,0.006338876199194716
3,19.342105263157894,1000.0,133.09272187682697,0.010577109994369253,0.0010354506784343315,0.00010120012923716403,2.8427116302719378e-06,73.23430563173734,0.006333806921482782
4,24.86842105263158,1000.0,133.0895953591179,0.01055255769802865,0.0010313111799382228,0.0001010834235119742,2.839433366451355e-06,73.14985057410102,0.006326649893408863
5,30.39473684210526,1000.0,133.0863617740834,0.01052206400747871,0.0010262174739178176,0.00010093828349166238,2.8353563832807964e-06,73.04481880500119,0.006317717798821796
6,35.921052631578945,1000.0,133.0829150296248,0.010486570070677081,0.0010202238202317731,0.00010076906767545088,2.8306031110034152e-06,72.9223643882374,0.006307287772137094
7,41.44736842105263,1000.0,133.07918284051632,0.01044700938809107,0.0010134113777542967,0.00010058008452186786,2.8252945742192683e-06,72.78560517524951,0.006295632367513216
8,46.973684210526315,1000.0,133.0751171912194,0.010404306189195517,0.0010058591732571617,0.00010037564753698603,2.8195519393139374e-06,72.63766267017442,0.006283023299946053
9,52.5,1000.0,133.07069107697865,0.01035935607040429,0.0009976320986690816,0.00010016001060080157,2.813494697776516e-06,72.48161522824859,0.006269727511520873
10,58.026315789473685,1000.0,133.0658977382492,0.0103130008147798,0.0009887709589023392,9.993726544723894e-05,2.8072377864129417e-06,72.32042386637033,0.006256000769567248
11,63.55263157894736,1000.0,133.060750755727,0.01026600318573309,0.000979281944648752,9.971123388525957e-05,2.8008885598369412e-06,72.15685426801909,0.006242080891896978
12,69.07894736842104,1000.0,133.05528412706366,0.010219025257182837,0.0009691249429894347,9.948537416688373e-05,2.794544160347764e-06,71.99340902570452,0.006228181847445947
13,74.60526315789473,1000.0,133.04955178371355,0.01017261270133707,0.0009582003814765059,9.926271581020602e-05,2.788289687108687e-06,71.83228047510572,0.006214489648444639
14,80.13157894736841,1000.0,133.0436262191036,0.010127186673577725,0.000946334217104828,9.904583424644264e-05,2.7821974839825736e-06,71.67533234819855,0.006201160756842002
15,85.6578947368421,1000.0,133.03759605124887,0.010083044051828725,0.0009332604010448899,9.883687328439705e-05,2.7763277705587132e-06,71.52411602985093,0.006188323508964138
16,91.18421052631578,1000.0,133.03156240168622,0.0100403651821498,0.0009185994628560419,9.863761677858977e-05,2.770730655310587e-06,71.3799224210542,0.006176082643994165
17,96.71052631578947,1000.0,133.02563383691975,0.009999225746039212,0.0009018308664851538,9.84495999180794e-05,2.76544926169885e-06,71.24386247399356,0.0061645263382026525
18,102.23684210526315,1000.0,133.01991907078664,0.009959607559384529,0.000882253501502747,9.827424794616172e-05,2.7605236248076826e-06,71.116967577699,0.006153734991608244
19,107.76315789473684,1000.0,133.0145151586661,0.009921406886154855,0.0008589130982932757,9.811308154359246e-05,2.7559964605595125e-06,71.00033818530304,0.006143794209050298
20,113.28947368421052,1000.0,133.0094849142134,0.0098844580929334,0.0008305767675453892,9.79679505008629e-05,2.751919729569239e-06,70.89531291290439,0.006134810301407027
21,118.8157894736842,1000.0,133.00480423880222,0.009848659447026877,0.0007950651665833338,9.784309309708517e-05,2.7484124850971226e-06,70.80495882603148,0.00612703776577952
22,124.34210526315789,1000.0,133.00026038505106,0.00981461603443848,0.0007498142721256386,9.774784804517763e-05,2.74573705158904e-06,70.73603396107445,0.006121056380650735
